scenario_id,track_id,start_time,end_time,focus_entity,prompt
perf-001,performance_advisor,2026-04-03T10:00:00Z,2026-04-03T11:45:00Z,chat-mid-34b,"chat-mid-34b has elevated first-token latency, high p95 latency, and GPU memory pressure after a serving change."
perf-002,performance_advisor,2026-04-05T18:00:00Z,2026-04-05T19:00:00Z,embed-small,The embedding service returns elevated 429s during a short evening burst.
perf-003,performance_advisor,2026-04-08T09:30:00Z,2026-04-08T10:45:00Z,rack-c,Serving latency rises while the fabric segment for rack-c shows congestion and retransmits.
perf-004,performance_advisor,2026-04-10T13:15:00Z,2026-04-10T14:30:00Z,code-assist-15b,code-assist-15b starts returning 5xx errors shortly after a config rollout.
perf-005,performance_advisor,2026-04-12T09:15:00Z,2026-04-12T10:30:00Z,gpu-node-02,A serving node shows high power and temperature while user-facing requests continue landing there.
perf-006,performance_advisor,2026-04-02T07:00:00Z,2026-04-02T08:00:00Z,all-services,A normal operating window with no major alert pattern or SLO breach.
gpu-001,gpu_placement,2026-04-04T14:00:00Z,2026-04-04T16:00:00Z,8-gpu-and-16-gpu-jobs,Large training jobs are waiting while many small jobs occupy partial 8-GPU nodes.
gpu-002,gpu_placement,2026-04-02T06:00:00Z,2026-04-02T07:00:00Z,idle-gpu-slots,The cluster has idle GPU slots and no large-job pressure in the queue.
gpu-003,gpu_placement,2026-04-09T15:00:00Z,2026-04-09T16:30:00Z,high-priority-jobs,High-priority jobs are waiting behind lower-priority work.
gpu-004,gpu_placement,2026-04-12T09:15:00Z,2026-04-12T10:30:00Z,gpu-node-02,One node is hot and near its power limit while new jobs are waiting.
gpu-005,gpu_placement,2026-04-07T10:00:00Z,2026-04-07T12:00:00Z,32-gpu-training-jobs,Multi-node 32-GPU jobs are waiting while capacity is scattered across partially used nodes.
gpu-006,gpu_placement,2026-04-02T07:00:00Z,2026-04-02T08:00:00Z,normal-training-queue,"The training queue is short, no urgent jobs are blocked, and node health is normal."
fail-001,failure_detective,2026-04-06T02:00:00Z,2026-04-06T04:00:00Z,checkpoint-storage,Several training jobs fail while checkpoint writes are timing out.
fail-002,failure_detective,2026-04-12T09:15:00Z,2026-04-12T10:30:00Z,gpu-node-02,Jobs are running on a node with high power and temperature alerts.
fail-003,failure_detective,2026-04-03T10:00:00Z,2026-04-03T11:45:00Z,chat-mid-34b,A serving model shows latency and memory pressure alerts after a batch setting change.
fail-004,failure_detective,2026-04-08T09:30:00Z,2026-04-08T10:45:00Z,rack-c,Training and serving symptoms overlap with fabric congestion in one rack.
fail-005,failure_detective,2026-04-11T20:00:00Z,2026-04-11T21:30:00Z,gpu-node-09,Several jobs on one shared node fail while GPU XID/ECC messages appear in logs.
fail-006,failure_detective,2026-04-13T13:00:00Z,2026-04-13T14:00:00Z,training-job-failure,"A few jobs fail, but there is no clear node, storage, network, or service-wide incident pattern."
