log_id,timestamp,service,severity,node_id,rack_id,job_id,model_name,message
log-000138,2026-04-01T00:00:00Z,training-scheduler,INFO,gpu-node-12,rack-f,,chat-small-8b,placement decision recorded
log-000240,2026-04-01T03:47:00Z,gpu-node-health,INFO,gpu-node-12,rack-f,,,queue depth sampled
log-000164,2026-04-01T04:33:00Z,checkpoint-storage,INFO,gpu-node-06,rack-c,,chat-mid-34b,queue depth sampled
log-000121,2026-04-01T04:48:00Z,checkpoint-storage,INFO,gpu-node-04,rack-b,,,replica rotated
log-000263,2026-04-01T05:00:00Z,checkpoint-storage,WARN,gpu-node-11,rack-f,,chat-mid-34b,queue depth sampled
log-000244,2026-04-01T06:38:00Z,training-scheduler,WARN,gpu-node-05,rack-c,,,checkpoint completed
log-000298,2026-04-01T12:23:00Z,inference-gateway,INFO,gpu-node-05,rack-c,,,health check passed
log-000182,2026-04-01T13:34:00Z,inference-gateway,WARN,gpu-node-10,rack-e,,chat-mid-34b,health check passed
log-000259,2026-04-01T14:08:00Z,inference-gateway,INFO,gpu-node-02,rack-a,,chat-small-8b,queue depth sampled
log-000219,2026-04-01T15:55:00Z,training-scheduler,WARN,gpu-node-09,rack-e,,chat-mid-34b,replica rotated
log-000214,2026-04-01T20:25:00Z,inference-gateway,INFO,gpu-node-10,rack-e,,chat-small-8b,checkpoint completed
log-000241,2026-04-01T21:56:00Z,checkpoint-storage,INFO,gpu-node-07,rack-d,,chat-small-8b,checkpoint completed
log-000221,2026-04-01T22:08:00Z,inference-gateway,INFO,gpu-node-03,rack-b,,chat-small-8b,health check passed
log-000079,2026-04-01T23:56:00Z,training-job,ERROR,gpu-node-10,rack-e,job-00030,,job failed with exit_reason=cuda_out_of_memory
log-000142,2026-04-02T09:25:00Z,inference-gateway,INFO,gpu-node-12,rack-f,,,replica rotated
log-000265,2026-04-02T11:19:00Z,checkpoint-storage,INFO,gpu-node-05,rack-c,,,placement decision recorded
log-000261,2026-04-02T12:21:00Z,checkpoint-storage,WARN,gpu-node-09,rack-e,,,health check passed
log-000212,2026-04-02T12:24:00Z,checkpoint-storage,WARN,gpu-node-02,rack-a,,chat-small-8b,health check passed
log-000075,2026-04-02T12:31:00Z,training-job,ERROR,gpu-node-03,rack-b,job-00050,,job failed with exit_reason=node_lost
log-000203,2026-04-02T13:35:00Z,checkpoint-storage,WARN,gpu-node-09,rack-e,,,replica rotated
log-000153,2026-04-02T19:45:00Z,gpu-node-health,INFO,gpu-node-11,rack-f,,chat-small-8b,checkpoint completed
log-000172,2026-04-02T21:27:00Z,gpu-node-health,WARN,gpu-node-08,rack-d,,chat-small-8b,replica rotated
log-000090,2026-04-02T21:50:00Z,training-job,ERROR,gpu-node-07,rack-d,job-00083,,job failed with exit_reason=cuda_out_of_memory
log-000147,2026-04-02T22:58:00Z,training-scheduler,INFO,gpu-node-04,rack-b,,,replica rotated
log-000200,2026-04-03T00:10:00Z,inference-gateway,INFO,gpu-node-03,rack-b,,,checkpoint completed
log-000168,2026-04-03T00:18:00Z,checkpoint-storage,INFO,gpu-node-10,rack-e,,chat-small-8b,placement decision recorded
log-000256,2026-04-03T02:24:00Z,inference-gateway,INFO,gpu-node-06,rack-c,,chat-small-8b,placement decision recorded
