alert_id,timestamp,severity,service,node_id,rack_id,related_job_id,model_name,alert_type,message,acknowledged
alert-00074,2026-04-01T00:12:00Z,warning,inference-gateway,gpu-node-07,rack-d,,chat-small-8b,InferenceLatencyHigh,p95 latency above service target,false
alert-00148,2026-04-01T04:31:00Z,warning,training-scheduler,,,,embed-small,QueueDepthHigh,training queue depth above expected range,true
alert-00109,2026-04-01T08:09:00Z,warning,inference-gateway,gpu-node-07,rack-d,,code-assist-15b,InferenceLatencyHigh,p95 latency above service target,true
alert-00068,2026-04-01T13:12:00Z,warning,gpu-node-health,gpu-node-03,rack-b,,embed-small,MemoryPressureHigh,GPU memory utilization above threshold,true
alert-00093,2026-04-01T13:51:00Z,warning,gpu-node-health,gpu-node-08,rack-d,,code-assist-15b,MemoryPressureHigh,GPU memory utilization above threshold,true
alert-00151,2026-04-01T17:41:00Z,warning,gpu-node-health,gpu-node-01,rack-a,,,MemoryPressureHigh,GPU memory utilization above threshold,true
alert-00096,2026-04-01T21:16:00Z,warning,inference-gateway,gpu-node-09,rack-e,,code-assist-15b,InferenceLatencyHigh,p95 latency above service target,false
alert-00078,2026-04-01T22:57:00Z,warning,checkpoint-storage,gpu-node-09,rack-e,,chat-small-8b,CheckpointSlow,checkpoint latency above expected range,false
alert-00094,2026-04-02T04:53:00Z,warning,gpu-node-health,gpu-node-06,rack-c,,,MemoryPressureHigh,GPU memory utilization above threshold,true
alert-00140,2026-04-02T11:59:00Z,warning,gpu-node-health,gpu-node-05,rack-c,,code-assist-15b,MemoryPressureHigh,GPU memory utilization above threshold,true
alert-00132,2026-04-02T16:15:00Z,warning,checkpoint-storage,gpu-node-02,rack-a,,code-assist-15b,CheckpointSlow,checkpoint latency above expected range,true
alert-00087,2026-04-02T18:04:00Z,warning,gpu-node-health,gpu-node-03,rack-b,,embed-small,MemoryPressureHigh,GPU memory utilization above threshold,false
alert-00091,2026-04-03T01:30:00Z,warning,gpu-node-health,gpu-node-05,rack-c,,,MemoryPressureHigh,GPU memory utilization above threshold,true
alert-00145,2026-04-03T09:15:00Z,warning,inference-gateway,gpu-node-01,rack-a,,,InferenceLatencyHigh,p95 latency above service target,false
alert-00001,2026-04-03T10:07:00Z,critical,inference-gateway,gpu-node-03,rack-b,,chat-mid-34b,MemoryPressureHigh,chat-mid-34b latency and KV cache pressure elevated,true
alert-00002,2026-04-03T10:22:00Z,critical,inference-gateway,gpu-node-03,rack-b,,chat-mid-34b,MemoryPressureHigh,chat-mid-34b latency and KV cache pressure elevated,true
alert-00003,2026-04-03T10:38:00Z,critical,inference-gateway,gpu-node-03,rack-b,,chat-mid-34b,MemoryPressureHigh,chat-mid-34b latency and KV cache pressure elevated,true
alert-00004,2026-04-03T11:04:00Z,critical,inference-gateway,gpu-node-03,rack-b,,chat-mid-34b,MemoryPressureHigh,chat-mid-34b latency and KV cache pressure elevated,false
alert-00005,2026-04-03T11:27:00Z,critical,inference-gateway,gpu-node-03,rack-b,,chat-mid-34b,MemoryPressureHigh,chat-mid-34b latency and KV cache pressure elevated,false
alert-00006,2026-04-03T11:42:00Z,critical,inference-gateway,gpu-node-03,rack-b,,chat-mid-34b,MemoryPressureHigh,chat-mid-34b latency and KV cache pressure elevated,false
alert-00070,2026-04-03T12:55:00Z,warning,checkpoint-storage,gpu-node-01,rack-a,,,CheckpointSlow,checkpoint latency above expected range,true
alert-00082,2026-04-03T14:02:00Z,warning,gpu-node-health,gpu-node-03,rack-b,,embed-small,MemoryPressureHigh,GPU memory utilization above threshold,false
alert-00150,2026-04-03T23:33:00Z,warning,training-scheduler,,,,,QueueDepthHigh,training queue depth above expected range,true
alert-00107,2026-04-04T00:42:00Z,warning,training-scheduler,,,,chat-small-8b,QueueDepthHigh,training queue depth above expected range,false
alert-00128,2026-04-04T01:36:00Z,warning,gpu-node-health,gpu-node-02,rack-a,,chat-small-8b,MemoryPressureHigh,GPU memory utilization above threshold,true
alert-00090,2026-04-04T07:30:00Z,warning,inference-gateway,gpu-node-09,rack-e,,embed-small,InferenceLatencyHigh,p95 latency above service target,true
alert-00029,2026-04-04T14:08:00Z,warning,training-scheduler,,,,,QueueDepthHigh,large GPU jobs waiting while nodes are partially occupied,false
alert-00030,2026-04-04T14:33:00Z,warning,training-scheduler,,,,,QueueDepthHigh,large GPU jobs waiting while nodes are partially occupied,false
alert-00031,2026-04-04T14:45:00Z,warning,training-scheduler,,,,,QueueDepthHigh,large GPU jobs waiting while nodes are partially occupied,false
alert-00032,2026-04-04T15:00:00Z,warning,training-scheduler,,,,,QueueDepthHigh,large GPU jobs waiting while nodes are partially occupied,false
alert-00033,2026-04-04T15:13:00Z,warning,training-scheduler,,,,,QueueDepthHigh,large GPU jobs waiting while nodes are partially occupied,false
alert-00034,2026-04-04T15:25:00Z,warning,training-scheduler,,,,,QueueDepthHigh,large GPU jobs waiting while nodes are partially occupied,true
alert-00119,2026-04-04T15:33:00Z,warning,inference-gateway,gpu-node-02,rack-a,,chat-small-8b,InferenceLatencyHigh,p95 latency above service target,true
alert-00035,2026-04-04T15:37:00Z,warning,training-scheduler,,,,,QueueDepthHigh,large GPU jobs waiting while nodes are partially occupied,true
alert-00036,2026-04-04T15:58:00Z,warning,training-scheduler,,,,,QueueDepthHigh,large GPU jobs waiting while nodes are partially occupied,false
alert-00106,2026-04-04T20:41:00Z,warning,checkpoint-storage,gpu-node-09,rack-e,,,CheckpointSlow,checkpoint latency above expected range,true
alert-00122,2026-04-04T21:48:00Z,warning,inference-gateway,gpu-node-02,rack-a,,,InferenceLatencyHigh,p95 latency above service target,false
